Id,CanonicalItem,Aliases,CuFtS,CuFtM,CuFtL,WeightSLb,WeightMLb,WeightLLb,TwoPersonFlag,StackableFlag,StackableSavingsPct,FitsElevatorHint,BaseTimeSMin,BaseTimeMMin,BaseTimeLMin,DisassemblyAdderSMin,DisassemblyAdderMMin,DisassemblyAdderLMin,BulkyAdderSMin,BulkyAdderMMin,BulkyAdderLMin,HeavyAdderSMin,HeavyAdderMMin,HeavyAdderLMin,StairsAdderPerFlightSMin,StairsAdderPerFlightMMin,StairsAdderPerFlightLMin,ElevatorAdderPerRideSMin,ElevatorAdderPerRideMMin,ElevatorAdderPerRideLMin,UnloadMultiplierMainFloor,UnloadMultiplierElevator,UnloadMultiplierStairs,ClassificationLogicNotes,CreatedAt,UpdatedAt
1065,washer,washer; washing machine; clothes washer,15,25,35,150,200,250,Yes,Usually,10,Usually,10,13.5,18,0,0,0,1,2,3,2.5,6.5,11,3,5.5,7.5,1.5,2,3,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=appliance. source=Washer score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1066,dryer,dryer; clothes dryer; tumble dryer,15,25,35,120,160,220,Yes,Usually,10,Usually,9,12.5,17,0,0,0,1,2,3,2,4.5,11,3,4.5,7.5,1.5,2,2.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=appliance. source=Dryer score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1067,washer dryer combo,washer dryer combo; combo washer dryer; laundry center,20,35,50,180,240,320,Yes,Usually,10,Usually,9.5,14,20,0,0,0,2.5,5,7,4.5,7.5,22,4,6.5,11.5,1.5,2.5,3.5,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=appliance. source=washer dryer score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1068,dishwasher,dishwasher; built in dishwasher,10,18,25,80,120,160,Yes,Usually,10,Usually,7.5,10,12.5,0,0,0,1,2,3,1,4.5,6.5,2.5,4,5.5,1,2,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=appliance. source=Dishwasher score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1069,stove,stove; oven; range,20,30,40,120,180,250,Yes,Usually,10,Usually,10,13.5,18,0,0,0,2.5,4.5,6.5,2.5,6.5,11,3.5,6,8.5,1.5,2.5,3,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=appliance. source=Range/Oven score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1070,microwave,microwave; microwave oven,3,5,8,15,30,50,No,Yes,15,Yes,3,3.5,5.5,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=appliance. source=Microwave score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive.,,
1071,water dispenser,water dispenser; water cooler; office water cooler; bottle water cooler,6,10,16,30,50,80,No,Yes,15,Yes,3,5,7,0,0,0,0,0,0,0,0,3.5,0.5,1,2,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=appliance. source=Dehumidifier score=88; base=scaled from Rework pattern + controlled 13-3 reference.,,
1072,portable ac,portable ac; portable air conditioner; ac unit,8,12,18,40,60,90,No,Yes,15,Yes,4.5,6,9,0,0,0,0,0,0,0,2,3.5,1,1.5,2.5,1,1.5,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=appliance. source=Portable AC score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1073,dehumidifier,dehumidifier; humidity remover,4,6,10,20,35,60,No,Yes,15,Yes,3,5,7,0,0,0,0,0,0,0,0,3.5,0.5,1,2,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=appliance. source=Dehumidifier score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1074,treadmill,treadmill; running machine,20,35,55,120,200,320,Yes,No,0,Usually,10.5,16,24,4,6,10,2.5,4.5,8,2.5,7,23,3.5,6.5,13,1.5,2.5,4,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=fitness. source=Treadmill score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1075,elliptical,elliptical; elliptical machine,18,30,50,120,180,260,Yes,No,0,Usually,10.5,15.5,22.5,0,0,0,2.5,4.5,8,2.5,7,11.5,3.5,6.5,10,1.5,2.5,3.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=fitness. source=Elliptical score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1076,exercise bike,exercise bike; stationary bike; spin bike,15,25,40,80,140,220,Yes,No,0,Usually,7.5,11.5,17.5,0,0,0,1,2,6,1.5,4.5,11.5,2.5,4.5,8.5,1,2,3,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=fitness. source=Stationary bike score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1077,rowing machine,rowing machine; rower,15,25,40,80,140,220,Yes,No,0,Usually,7.5,10.5,15,0,0,0,1,2,6,1,4.5,11.5,2.5,4,8,1,2,3,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=fitness. source=Rowing machine score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1078,weight bench,weight bench; workout bench; gym bench,10,18,25,60,100,160,Maybe,Yes,15,Yes,6,7.5,11.5,0,0,0,1,2,3,1,4.5,7,1.5,3,4.5,1,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=fitness. source=Weight bench score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1079,dumbbell set,dumbbell set; free weights; dumbbells,5,10,20,80,150,300,Yes,No,0,Yes,4.5,7,11.5,0,0,0,0,0,3,1.5,4.5,23,1.5,3,9.5,1,1.5,2.5,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=fitness. source=Dumbbell set (pair) score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1080,barbell set,barbell; weight plates; barbell set; olympic weights,5,12,25,100,200,400,Yes,No,0,Yes,4.5,7,11.5,0,0,0,0,0,3,2.5,7,23,2,4,9.5,1,1.5,2.5,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=fitness. source=Dumbbell set (pair) score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1081,home gym,home gym; gym machine; cable machine; bowflex; workout machine,30,50,80,200,350,500,Yes,No,0,Usually,13.5,20,27.5,8,11.5,19,2,8,10,3.5,14,40,4.5,9.5,18,1.5,3,5,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=fitness. source=Power rack score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1082,power rack,power rack; squat rack; gym rack; weight rack,25,40,70,150,250,400,Yes,No,0,Usually,12,18,25.5,7,11,17.5,2,4,10,3,7.5,23,4,7,13.5,1.5,2.5,4,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=fitness. source=Power rack score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1083,punching bag,punching bag; boxing bag; heavy bag,8,15,25,60,120,200,Maybe,Yes,30,Yes,5.5,7.5,11.5,0,0,0,0,2,3,1,4.5,11.5,1,3,5.5,1,1.5,2.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=fitness. source=Weight bench score=88; base=scaled from Rework pattern + controlled 13-3 reference.,,
1084,game table,game table; foosball table; air hockey; game table,25,40,70,120,200,300,Yes,No,0,Usually,11.5,16.5,23,2,4,6,2,4.5,11,2,6,20,3.5,6.5,12.5,1.5,2.5,4,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=tables_desks. source=medium dining table score=82; base=scaled from Rework pattern + controlled 13-3 reference.,,
1085,ping pong table,ping pong table; table tennis,15,25,40,60,100,160,Maybe,Yes,15,Usually,6.5,10,15,2,4,6,1,2,6.5,1,4,6,1.5,3.5,5.5,1,2,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=tables_desks. source=medium dining table score=82; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive.,,
1086,pool table,pool table; billiards table; snooker table,50,80,120,400,600,900,Yes,No,0,No,28,38,55.5,13,22.5,32.5,0,0,0,10,15,22,8,11.5,16.5,3,4,5.5,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=special_heavy. source=Pool table score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1087,arcade machine,arcade machine; arcade game; arcade cabinet; video game machine,35,60,90,200,300,450,Yes,No,0,Usually,16,24,34.5,0,0,0,4,8,10,8,14,24,6.5,10.5,15.5,2,3.5,5,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=special_heavy. source=Safe score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1088,pinball machine,pinball machine; pinball table,40,65,95,250,350,500,Yes,No,0,Usually,17,25.5,37.5,0,0,0,4,8,10,8,14,24,6.5,10.5,16,2,3.5,5,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=special_heavy. source=Safe score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1089,piano upright,upright piano; standing piano,40,70,100,300,400,600,Yes,No,0,No,22.5,32.5,47.5,0,0,0,0,0,0,15,25,35,8.5,13,18.5,2.5,4,5.5,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=special_heavy. source=Piano (upright) score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1090,piano grand,grand piano; baby grand piano,80,120,180,500,800,1200,Yes,No,0,No,32.5,47.5,72,12.5,20,29,0,0,0,11,21,35,9,14.5,22.5,3,5,7,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=special_heavy. source=Piano (grand) score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1091,aquarium,aquarium; fish tank,15,30,60,120,250,500,Yes,No,0,Usually,9,12,17,0,0,0,1,4,6,3,7,35,3.5,6,15,1.5,2.5,4,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=general. source=Aquarium score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1092,hot tub,hot tub; jacuzzi; spa tub,60,100,150,400,700,1000,Yes,No,0,No,37.5,55.5,83.5,12.5,17.5,25,0,0,0,20,30,40,12,18,26,3.5,5.5,8,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=special_heavy. source=Hot tub score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1093,bbq grill,bbq grill; barbecue; grill,10,18,25,40,70,110,Maybe,No,0,Usually,5.5,7.5,11,0,0,0,1.5,2.5,5,0,2,6,1.5,2.5,4.5,1,1.5,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=outdoor. source=BBQ grill score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1094,lawn mower,lawn mower; mower,8,12,18,40,70,110,No,Yes,15,Yes,3.5,5.5,7.5,0,0,0,0,0,0,1,3,8.5,1,1.5,3.5,1,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=outdoor. source=Lawn mower score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1095,snow blower,snow blower; snow thrower,12,20,30,60,100,160,No,Yes,15,Yes,5.5,9.5,13,0,0,0,1,2,3.5,1.5,4,7,1.5,3,5,1,1.5,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=outdoor. source=Snow blower score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1096,bicycle,bicycle; bike,6,10,16,20,35,60,No,Yes,15,Yes,4,5.5,7.5,0,0,0,0,0,0,0,0,3,0.5,1,2,1,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=outdoor. source=Bicycle score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1097,ladder,ladder; step ladder; extension ladder,6,10,20,20,40,80,No,Yes,15,Yes,3,4.5,7,0,0,0,0,1,4.5,0,0,3,0.5,1,3,0.5,1,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=outdoor. source=Ladder score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1098,planter,planter; plant pot; flower pot,5,10,20,20,40,80,No,Yes,15,Yes,3,5.5,9,0,0,0,0,0,3.5,0,0,4.5,0.5,1,3.5,0.5,1,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=general. source=plant pot score=94; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1099,patio umbrella,patio umbrella; outdoor umbrella,4,6,10,10,20,35,No,Yes,30,Yes,3,4,5.5,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=outdoor. source=Patio umbrella score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1100,garden tools,garden tools; yard tools; tool bundle,4,8,15,20,40,70,No,Yes,30,Yes,3,4.5,6.5,0,0,0,0,0,0,0,0,3,0.5,1,2,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=outdoor. source=Garden tools bundle score=82; base=scaled from Rework pattern + controlled 13-3 reference.,,
1101,air compressor,air compressor; compressor; shop compressor,10,18,30,60,120,200,Maybe,Yes,15,Usually,5,8.5,12,0,0,0,1,2,3,1,4,10,1.5,3,5.5,1,1.5,2.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=general. source=Snow blower score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1102,shop vac,shop vac; shop vacuum; wet dry vac; wet dry vacuum,6,10,16,25,45,70,No,Yes,15,Yes,3,5,6.5,0,0,0,0,0,0,0,0,3,0.5,1,2,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=general. source=Dehumidifier score=88; base=scaled from Rework pattern + controlled 13-3 reference.,,
1103,pressure washer,pressure washer; power washer; jet washer,8,12,20,35,60,100,No,Yes,15,Yes,3.5,5.5,9,0,0,0,0,0,3,0.5,2.5,7,1,1.5,4,1,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=appliance. source=Washer score=82; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1104,generator,generator; portable generator; power generator,10,18,28,60,120,200,Maybe,Yes,15,Usually,5,8.5,12,0,0,0,1,2,3,1,4,10,1.5,3,5.5,1,1.5,2.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=general. source=Snow blower score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1105,wheelbarrow,wheelbarrow; garden wheelbarrow,8,12,18,25,45,70,No,Yes,15,Yes,3.5,5.5,7,0,0,0,0,0,0,0.5,0.5,4,1,1,2.5,1,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=outdoor. source=Lawn mower score=88; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1106,riding lawn mower,riding mower; riding lawn mower; lawn tractor,40,70,110,250,400,600,Yes,No,0,No,11,16,25.5,0,0,0,4.5,9,17.5,3,12,35,4.5,8.5,18.5,1.5,3,5,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=outdoor. source=Lawn mower score=82; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1107,fire pit,fire pit; outdoor fire pit; patio fire pit,10,18,28,40,80,140,Maybe,Yes,15,Usually,5.5,7,11,0,0,0,1,2.5,4.5,0,2,6,1,2.5,4.5,1,1.5,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=outdoor. source=BBQ grill score=88; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1108,patio heater,patio heater; outdoor heater; propane heater,12,20,30,50,90,150,Maybe,No,0,Usually,4,7,9.5,0,0,0,1,2,3.5,0,2,6,1,2,4,1,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=outdoor. source=Space heater score=82; base=scaled from Rework pattern + controlled 13-3 reference.,,
1109,trampoline,trampoline; backyard trampoline; outdoor trampoline,25,40,70,80,120,180,Yes,Usually,10,Usually,9.5,14,20,6,10,15,2,5,11,1,4,10,3,5.5,9.5,1.5,2,3.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=outdoor. source=Outdoor sofa score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1110,area rug,area rug; rug,5,10,20,20,40,80,No,Yes,30,Yes,3,5,8.5,0,0,0,1,2,6,0,0,3,1,1.5,3.5,1,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=misc_light. source=Area rug score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1111,large rug,large rug; oversized rug; big rug; carpet roll,15,25,40,40,80,150,Maybe,Usually,15,Usually,5,7.5,11,0,0,0,2,4,9,0,2,6,1.5,3,5.5,1,1.5,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=misc_light. source=medium area rug score=85; base=scaled from Rework pattern + controlled 13-3 reference.,,
1112,floor lamp,floor lamp; standing lamp,3,5,8,10,20,35,No,Yes,15,Yes,2.5,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0.5,1,1.5,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=misc_light. source=Floor lamp score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1113,artwork,artwork; painting; framed art; wall art; picture frame,2,4,8,5,15,30,No,Yes,15,Yes,3.5,4,5,0,0,0,0,0,2,0,0,0,1,1,2,1,1.5,1.5,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=misc_light. source=artwork score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1114,christmas tree,christmas tree; xmas tree; artificial tree,6,10,20,15,30,60,No,Yes,30,Yes,4,7,11.5,0,0,0,0,0.5,3.5,0,0,3,0.5,1.5,3.5,1,1.5,2,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=misc_light. source=christmas tree score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1115,cat tree,cat tree; cat tower; pet tower; scratching post,8,15,25,30,60,100,Maybe,Usually,15,Yes,5,8,11.5,0,0,0,0.5,3,4.5,0,2,6,1,2.5,4.5,1,1.5,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=general. source=cat tree score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1116,standing clock,standing clock; grandfather clock; floor clock; tall clock; pendulum clock,20,35,55,120,200,300,Yes,No,0,Usually,7.5,11,15,0,0,0,2,4,6,2,6,20,3,5,10,1,2,3,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=misc_light. source=wall clock score=82; base=scaled from Rework pattern + controlled 13-3 reference.,,
1117,space heater,space heater; heater; portable heater; electric heater,3,6,10,15,30,50,No,Yes,15,Yes,2.5,4,5,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0.5,1,1.5,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=misc_light. source=Space heater score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1118,fan,fan; standing fan; tower fan; floor fan; pedestal fan,3,5,8,10,20,35,No,Yes,15,Yes,3.5,4,5,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0.5,1,1.5,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=misc_light. source=floor fan score=94; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive.,,
1119,sports bag,sports bag; hockey bag; golf bag; equipment bag; gear bag,6,10,16,20,40,70,No,Yes,30,Yes,2.5,4,5,0,0,0,0,0,0,0,0,3,0.5,1,1.5,0.5,1,1.5,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=misc_light. source=Suitcase (packed) score=88; base=scaled from Rework pattern + controlled 13-3 reference.,,
1120,cart,cart; stroller; wagon; push cart; utility cart; garden cart; folding wagon,10,18,25,25,45,80,No,Yes,15,Yes,5,6.5,10,0,0,0,1,2.5,4.5,0.5,0.5,4,1.5,2,4,1,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=tables_desks. source=Kitchen island (movable) score=88; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1121,ride on toy,ride on toy; ride on car; kids car; power wheels;  kids ride on,12,20,30,30,50,90,No,Yes,15,Usually,4,5.5,8.5,0,0,0,1,2,3,0,0,3,1,1.5,3,1,1.5,2,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=misc_light. source=Deck box score=88; base=scaled from Rework pattern + controlled 13-3 reference.,,
1122,car seat,car seat; baby car seat; booster seat; child seat,4,6,10,10,20,35,No,Yes,30,Yes,2.5,3,4.5,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,1,1.5,0.5,1,1.5,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=misc_light. source=Chair score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1123,cooler,cooler; ice chest; camping cooler; igloo cooler,6,10,16,20,40,70,No,Yes,15,Yes,3,5,7,0,0,0,0,0,0,0,0,3,0.5,1,2,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=storage_cabinet. source=Deck box score=88; base=scaled from Rework pattern + controlled 13-3 reference.,,
1124,tool bag,tool bag; tool box; toolbox; tool kit; tools bag,6,10,16,25,45,80,No,Yes,15,Yes,3,5,6.5,0,0,0,0,0,0,0.5,0.5,3.5,0.5,1,2,0.5,1,1.5,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=misc_light. source=Tool chest score=88; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1125,pet crate,pet crate; dog crate; cat crate; animal crate; kennel,8,12,20,20,40,70,No,Yes,15,Yes,2.5,4,5,0,0,0,0,0,3,0,0,3,0.5,1,2.5,0.5,1,1.5,0.85,0.95,1.05,Rebuilt from Rework identity/size/weight. Category=misc_light. source=Plastic storage bin (filled) score=88; base=scaled from Rework pattern + controlled 13-3 reference.,,
1126,bike,bike; bicycle; mountain bike; road bike; kids bike; bmx; electric bike; e bike,6,10,16,20,35,60,No,Yes,15,Yes,3.5,5.5,7.5,0,0,0,0,0,0,0,0,3,0.5,1,2,0.5,1,1.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=outdoor. source=Bicycle score=88; base=scaled from Rework pattern + controlled 13-3 reference.,,
1127,commercial fridge,commercial fridge; display fridge; drink cooler; glass door fridge; restaurant fridge; store fridge; merchandiser fridge,45,75,110,250,380,520,Yes,No,0,Usually,12.5,21,30,0,0,0,4.5,8.5,16,8,16,28,6,11,18,2,3.5,5.5,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=appliance. source=Refrigerator score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1128,vending machine,vending machine; snack machine; soda machine; drink machine; pop machine,40,70,110,300,450,600,Yes,No,0,Usually,17,27,40.5,0,0,0,4,8,16,10,18,30,7,12,19.5,2.5,4,6,1,1.1,1.2,Rebuilt from Rework identity/size/weight. Category=special_heavy. source=Safe score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
